Name,id,Recognition,State,Seat,Party,Gender,isdupe,DNA,Hair Final,Hairstyle Final,Eyebrows,Mouth,Ears,Facial Hair,Face,Misc,Eyes,Skin Shade,Wrinkles,Incumbent
Bill Huizenga,202,0.517,MI,2,R,M,0,MGrayGeneric Male MediumNormalBig SmileBigNoneNormalNoneBrownWhiteMild,Gray,Generic Male Medium,Normal,Big Smile,Big,None,Normal,None,Brown,White,Mild,Y
Peter Meijer,203,0.759,MI,3,R,M,0,MRedGeneric Male MediumNormalNormalNormalBeardNormalNoneBrownWhiteNo,Red,Generic Male Medium,Normal,Normal,Normal,Beard,Normal,None,Brown,White,No,Y
John Moolenaar,204,0.469,MI,4,R,M,0,MLight BrownReceding HairlineNormalSerious SmileNormalNoneChinNoneBrownWhiteMild,Light Brown,Receding Hairline,Normal,Serious Smile,Normal,None,Chin,None,Brown,White,Mild,Y
Dan Kildee,205,0.633,MI,5,D,M,0,MDark GrayReceding HairlineProminentSerious SmileNormalNoneNormalNoneGreyWhiteYes,Dark Gray,Receding Hairline,Prominent,Serious Smile,Normal,None,Normal,None,Grey,White,Yes,Y
Fred Upton,206,0.724,MI,6,R,M,0,MLight GrayGeneric Male MediumNormalSerious SmileBigNoneCheeksNoneBrownWhiteMild,Light Gray,Generic Male Medium,Normal,Serious Smile,Big,None,Cheeks,None,Brown,White,Mild,Y
Tim Walberg,207,0.493,MI,7,R,M,0,MBrownReceding HairlineNormalNormalNormalNoneChinNoneBrownWhiteYes,Brown,Receding Hairline,Normal,Normal,Normal,None,Chin,None,Brown,White,Yes,Y
Elissa Slotkin,208,0.752,MI,8,D,M,0,MLight BrownFemale LongNormalSmirkBigNoneNormalNoneHazelWhiteNo,Light Brown,Female Long,Normal,Smirk,Big,None,Normal,None,Hazel,White,No,Y
Andy Levin,209,0.619,MI,9,D,M,0,MBlackGeneric Male MediumNormalNormalNormalNoneChinNoneBrownWhiteYes,Black,Generic Male Medium,Normal,Normal,Normal,None,Chin,None,Brown,White,Yes,Y
Lisa McClain,210,0.469,MI,10,R,F,0,FRedFemale LongNormalBig SmileBigNoneNormalNoneBrownWhiteMild,Red,Female Long,Normal,Big Smile,Big,None,Normal,None,Brown,White,Mild,Y
Haley Stevens,211,0.752,MI,11,D,F,0,FBrownFemale LongNormalSerious SmileNormalNoneCheeksNoneBlue-GreyWhiteNo,Brown,Female Long,Normal,Serious Smile,Normal,None,Cheeks,None,Blue-Grey,White,No,Y
Debbie Dingell,212,0.721,MI,12,D,F,0,FLight BlondeFemale LongNormalNo SmileNormalNoneNormalNoneBlueWhiteYes,Light Blonde,Female Long,Normal,No Smile,Normal,None,Normal,None,Blue,White,Yes,Y
Rashida Tlaib,213,0.881,MI,13,D,F,0,FBlackFemale LongNormalBig SmileBigNoneCheeksGlassesBrownBrownMild,Black,Female Long,Normal,Big Smile,Big,None,Cheeks,Glasses,Brown,Brown,Mild,Y
Brenda Lawrence,214,0.667,MI,14,D,F,0,FGrayFemale ShortNormalBig SmileNormalNoneNormalNoneBrownBlackNo,Gray,Female Short,Normal,Big Smile,Normal,None,Normal,None,Brown,Black,No,Y
Gary Peters,484,0.693,MI,SEN,D,M,0,MDark GrayGeneric Male MediumNormalSerious SmileNormalBeardNormalGlassesAmberWhiteNo,Dark Gray,Generic Male Medium,Normal,Serious Smile,Normal,Beard,Normal,Glasses,Amber,White,No,Y
Debbie Stabenow,483,0.674,MI,SEN,D,F,0,FBlondeFemale ShortNormalBig SmileNormalNoneNormalNoneBlueWhiteNo,Blonde,Female Short,Normal,Big Smile,Normal,None,Normal,None,Blue,White,No,Y
Jim Hagedorn,215,0.558,MN,1,R,M,0,MDark BlondeReceding HairlineNormalSerious SmileNormalNoneCheeksGlassesBrownWhiteMild,Dark Blonde,Receding Hairline,Normal,Serious Smile,Normal,None,Cheeks,Glasses,Brown,White,Mild,Y
Angie Craig,216,0.673,MN,2,D,F,0,FDark BrownFemale LongNormalBig SmileNormalNoneCheeksNoneAmberWhiteNo,Dark Brown,Female Long,Normal,Big Smile,Normal,None,Cheeks,None,Amber,White,No,Y
Dean Phillips,217,0.653,MN,3,D,M,0,MBrownGeneric Male MediumProminentNormalNormalNoneNormalNoneBrownWhiteYes,Brown,Generic Male Medium,Prominent,Normal,Normal,None,Normal,None,Brown,White,Yes,Y
Betty McCollum,218,0.578,MN,4,D,F,0,FGrayFemale BobNormalBig SmileNormalNoneNormalNoneBrownWhiteYes,Gray,Female Bob,Normal,Big Smile,Normal,None,Normal,None,Brown,White,Yes,Y
Ilhan Omar,219,0.901,MN,5,D,F,0,FBrownHeadscarfNormalNormalNormalNoneNormalNose PiercingBrownBrownNo,Brown,Headscarf,Normal,Normal,Normal,None,Normal,Nose Piercing,Brown,Brown,No,Y
Tom Emmer,220,0.585,MN,6,R,M,0,MWhiteGeneric Male MediumProminentSerious SmileBigNoneCheeksNoneBlueWhiteYes,White,Generic Male Medium,Prominent,Serious Smile,Big,None,Cheeks,None,Blue,White,Yes,Y
Michelle Fischbach,221,0.687,MN,7,R,F,0,FBlondeFemale BobNormalSerious SmileNormalNoneNormalGlassesBrownWhiteYes,Blonde,Female Bob,Normal,Serious Smile,Normal,None,Normal,Glasses,Brown,White,Yes,Y
Pete Stauber,222,0.534,MN,8,R,M,0,MWhiteBaldNormalBig SmileBigNoneNormalNoneBlueWhiteYes,White,Bald,Normal,Big Smile,Big,None,Normal,None,Blue,White,Yes,Y
Amy Klobuchar,585,0.849,MN,SEN,D,F,0,FBrownFemale ShortNormalBig SmileBigNoneCheeksNonehazelwhiteMild,Brown,Female Short,Normal,Big Smile,Big,None,Cheeks,None,hazel,white,Mild,Y
Tina Smith,586,0.798,MN,SEN,D,F,0,FLight BrownFemale BobNormalSerious SmileNormalNoneNormalNoneAmberwhitemild,Light Brown,Female Bob,Normal,Serious Smile,Normal,None,Normal,None,Amber,white,mild,Y
Cori Bush,227,0.861,MO,1,D,F,0,FBlackFemale LongProminentSerious SmileNormalNoneCheeksNoneBrownBlackNo,Black,Female Long,Prominent,Serious Smile,Normal,None,Cheeks,None,Brown,Black,No,Y
Ann Wagner,228,0.684,MO,2,R,F,0,FBlondeFemale LongNormalBig SmileNormalNoneChinNoneBrownWhiteYes,Blonde,Female Long,Normal,Big Smile,Normal,None,Chin,None,Brown,White,Yes,Y
Blaine Luetkemeyer,229,0.446,MO,3,R,M,0,MDark GrayGeneric Male MediumProminentThin LipsBigNoneNormalGlassesBlueWhiteYes,Dark Gray,Generic Male Medium,Prominent,Thin Lips,Big,None,Normal,Glasses,Blue,White,Yes,Y
Vicky Hartzler,230,0.531,MO,4,R,F,0,FDark BrownFemale BobNormalBig SmileNormalNoneCheeksNoneHazelWhiteMild,Dark Brown,Female Bob,Normal,Big Smile,Normal,None,Cheeks,None,Hazel,White,Mild,Y
Emanuel Cleaver,231,0.714,MO,5,D,M,0,MDark GrayGeneric ShortNormalNormalNormalNoneNormalGlassesBrownBlackNo,Dark Gray,Generic Short,Normal,Normal,Normal,None,Normal,Glasses,Brown,Black,No,Y
Sam Graves,232,0.48,MO,6,R,M,0,MBrownGeneric Male MediumNormalNormalBigNoneCheeksNoneBrownTanMild,Brown,Generic Male Medium,Normal,Normal,Big,None,Cheeks,None,Brown,Tan,Mild,Y
Billy Long,233,0.558,MO,7,R,M,0,MGrayReceding HairlineNormalSneerBigNoneCheeksGlassesBrownWhiteNo,Gray,Receding Hairline,Normal,Sneer,Big,None,Cheeks,Glasses,Brown,White,No,Y
Jason Smith,234,0.844,MO,8,R,M,0,MLight BrownReceding HairlineNormalBig SmileBigNoneNormalNoneGreyWhiteNo,Light Brown,Receding Hairline,Normal,Big Smile,Big,None,Normal,None,Grey,White,No,Y
Josh Hawley,487,0.876,MO,SEN,R,M,0,MBrownGeneric Male MediumProminentSerious SmileBigNoneChinNoneAmberWhiteNo,Brown,Generic Male Medium,Prominent,Serious Smile,Big,None,Chin,None,Amber,White,No,Y
Roy Blunt,589,0.72,MO,SEN,R,M,0,MGrayGeneric Male MediumProminentBig SmileNormalNoneCheeksNoneBluewhitemild,Gray,Generic Male Medium,Prominent,Big Smile,Normal,None,Cheeks,None,Blue,white,mild,Y
Gregorio Sablan,301,0.4,MP,1,D,M,0,MGrayReceding HairlineNormalSmirkNormalNoneNormalNoneBrownOrangeYes,Gray,Receding Hairline,Normal,Smirk,Normal,None,Normal,None,Brown,Orange,Yes,Y
Trent Kelly,223,0.595,MS,1,R,M,0,MDark GrayReceding HairlineNormalSmirkNormalNoneChinNoneBrownWhiteYes,Dark Gray,Receding Hairline,Normal,Smirk,Normal,None,Chin,None,Brown,White,Yes,Y
Bennie Thompson,224,0.806,MS,2,D,M,0,MGrayBaldNormalNo SmileNormalBeardNormalNoneBrownBlackNo,Gray,Bald,Normal,No Smile,Normal,Beard,Normal,None,Brown,Black,No,Y
Michael Guest,225,0.514,MS,3,R,M,0,MBlondeGeneric Male MediumNormalBig SmileNormalNoneCheeksNoneBlueWhiteNo,Blonde,Generic Male Medium,Normal,Big Smile,Normal,None,Cheeks,None,Blue,White,No,Y
Steven Palazzo,226,0.51,MS,4,R,M,0,MBrownGeneric Male MediumNormalNormalNormalNoneCheeksNoneBrownWhiteYes,Brown,Generic Male Medium,Normal,Normal,Normal,None,Cheeks,None,Brown,White,Yes,Y
Cindy Hyde-Smith,489,0.739,MS,SEN,R,F,0,FDark BlondeFemale BobNormalSerious SmileNormalNoneCheeksNoneHazelWhiteNo,Dark Blonde,Female Bob,Normal,Serious Smile,Normal,None,Cheeks,None,Hazel,White,No,Y
Roger Wicker,587,0.596,MS,SEN,R,M,0,MGrayGeneric Male MediumNormalBig SmileNormalNoneNormalGlasseshazelwhitemild,Gray,Generic Male Medium,Normal,Big Smile,Normal,None,Normal,Glasses,hazel,white,mild,Y
Matt Rosendale,235,0.667,MT,1,R,M,0,MGrayReceding HairlineNormalSerious SmileNormalNoneChinNoneBrownWhiteYes,Gray,Receding Hairline,Normal,Serious Smile,Normal,None,Chin,None,Brown,White,Yes,Y
Jon Tester,491,0.752,MT,SEN,D,M,0,MBrownGeneric ShortNormalNormalNormalNoneCheeksNoneHazelWhiteMild,Brown,Generic Short,Normal,Normal,Normal,None,Cheeks,None,Hazel,White,Mild,Y
Steve Daines,592,0.665,MT,SEN,R,M,0,MDark GrayGeneric Male MediumNormalThin LipsNormalNoneNormalNoneAmberwhitemild,Dark Gray,Generic Male Medium,Normal,Thin Lips,Normal,None,Normal,None,Amber,white,mild,Y
G.K. Butterfield,287,0.646,NC,1,D,M,0,MGrayGeneric Male MediumNormalNormalNormalMoustacheNormalNoneBrownWhiteNo,Gray,Generic Male Medium,Normal,Normal,Normal,Moustache,Normal,None,Brown,White,No,Y
Deborah Ross,288,0.629,NC,2,D,F,0,FLight GrayFemale ShortNormalBig SmileBigNoneCheeksNoneHazelWhiteMild,Light Gray,Female Short,Normal,Big Smile,Big,None,Cheeks,None,Hazel,White,Mild,Y
Greg Murphy,289,0.483,NC,3,R,M,0,MBrownReceding HairlineNormalNormalNormalNoneNormalGlassesBlueWhiteYes,Brown,Receding Hairline,Normal,Normal,Normal,None,Normal,Glasses,Blue,White,Yes,Y
David Price,290,0.599,NC,4,D,M,0,MWhiteReceding HairlineNormalNo SmileBigNoneCheeksGlassesBlueWhiteYes,White,Receding Hairline,Normal,No Smile,Big,None,Cheeks,Glasses,Blue,White,Yes,Y
Virginia Foxx,291,0.605,NC,5,R,F,0,FWhiteFemale ShortNormalSerious SmileBigNoneNormalNoneBrownOrangeYes,White,Female Short,Normal,Serious Smile,Big,None,Normal,None,Brown,Orange,Yes,Y
Kathy Manning,292,0.51,NC,6,D,F,0,FBrownFemale BobNormalBig SmileNormalNoneChinNoneBrownWhiteMild,Brown,Female Bob,Normal,Big Smile,Normal,None,Chin,None,Brown,White,Mild,Y
David Rouzer,293,0.422,NC,7,R,M,0,MDark BrownGeneric Male MediumProminentNormalNormalNoneChinNoneBrownOrangeNo,Dark Brown,Generic Male Medium,Prominent,Normal,Normal,None,Chin,None,Brown,Orange,No,Y
Richard Hudson,294,0.473,NC,8,R,M,0,MBrownGeneric Male MediumNormalSmirkNormalNoneCheeksNoneBrownWhiteMild,Brown,Generic Male Medium,Normal,Smirk,Normal,None,Cheeks,None,Brown,White,Mild,Y
Dan Bishop,295,0.585,NC,9,R,M,0,MGrayReceding HairlineNormalBig SmileBigNoneNormalNoneBrownWhiteYes,Gray,Receding Hairline,Normal,Big Smile,Big,None,Normal,None,Brown,White,Yes,Y
Patrick McHenry,296,0.473,NC,10,R,M,0,MWhiteGeneric Male MediumNormalSerious SmileNormalNoneCheeksGlassesBrownWhiteNo,White,Generic Male Medium,Normal,Serious Smile,Normal,None,Cheeks,Glasses,Brown,White,No,Y
Madison Cawthorn,297,0.748,NC,11,R,M,0,MDark BlondeGeneric Male MediumProminentSmirkNormalNoneChinNoneGreenWhiteNo,Dark Blonde,Generic Male Medium,Prominent,Smirk,Normal,None,Chin,None,Green,White,No,Y
Alma Adams,298,0.714,NC,12,D,F,0,FBrownGeneric ShortNormalNormalNormalNoneNormalGlassesBrownBrownNo,Brown,Generic Short,Normal,Normal,Normal,None,Normal,Glasses,Brown,Brown,No,Y
Ted Budd,299,0.541,NC,13,R,M,0,MRedReceding HairlineNormalBig SmileNormalNoneCheeksNoneBlueWhiteNo,Red,Receding Hairline,Normal,Big Smile,Normal,None,Cheeks,None,Blue,White,No,Y
Thom Tillis,496,0.706,NC,SEN,R,M,0,MLight GrayReceding HairlineNormalBig SmileBigNoneChinNoneBlueWhiteYes,Light Gray,Receding Hairline,Normal,Big Smile,Big,None,Chin,None,Blue,White,Yes,Y
Richard Burr,495,0.661,NC,SEN,R,M,0,MGrayGeneric ShortNormalSmirkNormalNoneNormalNoneBlueWhitemild,Gray,Generic Short,Normal,Smirk,Normal,None,Normal,None,Blue,White,mild,Y
Kelly Armstrong,300,0.595,ND,1,R,M,0,MDark GrayGeneric ShortProminentSmirkBigNoneCheeksNoneBrownWhiteYes,Dark Gray,Generic Short,Prominent,Smirk,Big,None,Cheeks,None,Brown,White,Yes,Y
Kevin Cramer,608,0.564,ND,SEN,R,M,0,MLight GrayReceding HairlineNormalSerious SmileNormalNoneNormalGlassesgreywhiteyes,Light Gray,Receding Hairline,Normal,Serious Smile,Normal,None,Normal,Glasses,grey,white,yes,Y
John Hoeven,493,0.56,ND,SEN,R,M,0,MGrayGeneric Male MediumNormalNo SmileNormalMoustacheNormalNoneBrownWhiteMild,Gray,Generic Male Medium,Normal,No Smile,Normal,Moustache,Normal,None,Brown,White,Mild,Y
Jeff Fortenberry,236,0.548,NE,1,R,M,0,MDark GrayGeneric Male MediumNormalSerious SmileBigNoneCheeksNoneHazelTanYes,Dark Gray,Generic Male Medium,Normal,Serious Smile,Big,None,Cheeks,None,Hazel,Tan,Yes,Y
Don Bacon,237,0.755,NE,2,R,M,0,MDark GrayGeneric Male MediumNormalThin LipsNormalNoneNormalNoneBrownWhiteYes,Dark Gray,Generic Male Medium,Normal,Thin Lips,Normal,None,Normal,None,Brown,White,Yes,Y
Adrian Smith,238,0.844,NE,3,R,M,0,MBrownReceding HairlineNormalNormalNormalNoneChinNoneBlue-GreyWhiteNo,Brown,Receding Hairline,Normal,Normal,Normal,None,Chin,None,Blue-Grey,White,No,Y
Ben Sasse,497,0.757,NE,SEN,R,M,0,MBrownGeneric Male MediumProminentBig SmileNormalNoneChinNoneHazelWhiteNo,Brown,Generic Male Medium,Prominent,Big Smile,Normal,None,Chin,None,Hazel,White,No,Y
Deb Fischer,498,0.61,NE,SEN,R,F,0,FLight BrownFemale BobNormalBig SmileNormalNoneCheeksNoneBrownWhiteMild,Light Brown,Female Bob,Normal,Big Smile,Normal,None,Cheeks,None,Brown,White,Mild,Y
Chris Pappas,243,0.745,NH,1,D,M,0,MBrownGeneric Male MediumNormalSerious SmileNormalNoneCheeksNoneBrownWhiteNo,Brown,Generic Male Medium,Normal,Serious Smile,Normal,None,Cheeks,None,Brown,White,No,Y
Ann McLane Kuster,244,0.697,NH,2,D,F,0,FBrownFemale BobNormalNormalNormalNoneNormalGlassesBrownBrownNo,Brown,Female Bob,Normal,Normal,Normal,None,Normal,Glasses,Brown,Brown,No,Y
Jeanne Shaheen,499,0.702,NH,SEN,D,F,0,FLight BrownFemale ShortNormalThin LipsBigNoneCheeksNoneBrownWhiteMild,Light Brown,Female Short,Normal,Thin Lips,Big,None,Cheeks,None,Brown,White,Mild,Y
Maggie Hassan,500,0.651,NH,SEN,D,F,0,FBlondeFemale BobNormalThin LipsNormalNoneNormalNoneBlueWhiteMild,Blonde,Female Bob,Normal,Thin Lips,Normal,None,Normal,None,Blue,White,Mild,Y
Donald Norcross,245,0.558,NJ,1,D,M,0,MBrownGeneric Male MediumNormalSerious SmileBigNoneCheeksNoneBrownWhiteNo,Brown,Generic Male Medium,Normal,Serious Smile,Big,None,Cheeks,None,Brown,White,No,Y
Jeff Van Drew,246,0.755,NJ,2,R,M,0,MDark GrayGeneric ShortNormalSmirkBigNoneCheeksNoneBlueOrangeYes,Dark Gray,Generic Short,Normal,Smirk,Big,None,Cheeks,None,Blue,Orange,Yes,Y
Andy Kim,247,0.803,NJ,3,D,M,0,MBlackReceding HairlineProminentSerious SmileBigNoneCheeksGlassesBrownWhiteNo,Black,Receding Hairline,Prominent,Serious Smile,Big,None,Cheeks,Glasses,Brown,White,No,Y
Chris Smith,248,0.844,NJ,4,R,M,0,MDark GrayGeneric Male MediumNormalNo SmileNormalNoneCheeksNoneBlueWhiteNo,Dark Gray,Generic Male Medium,Normal,No Smile,Normal,None,Cheeks,None,Blue,White,No,Y
Josh Gottheimer,249,0.687,NJ,5,D,M,0,MBrownGeneric ShortNormalBig SmileNormalNoneChinNoneBrownWhiteYes,Brown,Generic Short,Normal,Big Smile,Normal,None,Chin,None,Brown,White,Yes,Y
Frank Pallone,250,0.616,NJ,6,D,M,0,MGrayGeneric Male MediumNormalSerious SmileNormalNoneNormalNoneBrownOrangeYes,Gray,Generic Male Medium,Normal,Serious Smile,Normal,None,Normal,None,Brown,Orange,Yes,Y
Tom Malinowski,251,0.697,NJ,7,D,M,0,MDark GrayGeneric Male MediumProminentNormalBigNoneChinNoneBlueWhiteMild,Dark Gray,Generic Male Medium,Prominent,Normal,Big,None,Chin,None,Blue,White,Mild,Y
Albio Sires,252,0.599,NJ,8,D,M,0,MBrownReceding HairlineNormalSerious SmileBigNoneChinNoneBrownOrangeMild,Brown,Receding Hairline,Normal,Serious Smile,Big,None,Chin,None,Brown,Orange,Mild,Y
Bill Pascrell,253,0.544,NJ,9,D,M,0,MWhiteReceding HairlineNormalSerious SmileNormalNoneNormalGlassesBrownWhiteMild,White,Receding Hairline,Normal,Serious Smile,Normal,None,Normal,Glasses,Brown,White,Mild,Y
Donald Payne Jr.,254,0.554,NJ,10,D,M,0,MBrownGeneric ShortNormalNormalNormalMoustacheNormalNoneBrownBrownNo,Brown,Generic Short,Normal,Normal,Normal,Moustache,Normal,None,Brown,Brown,No,Y
Mikie Sherrill,255,0.711,NJ,11,D,F,0,FBrownFemale LongNormalNormalNormalNoneNormalNoneHazelWhiteNo,Brown,Female Long,Normal,Normal,Normal,None,Normal,None,Hazel,White,No,Y
Bonnie Watson Coleman,256,0.653,NJ,12,D,F,0,FGrayGeneric ShortNormalNormalNormalNoneCheeksNoneBrownBrownNo,Gray,Generic Short,Normal,Normal,Normal,None,Cheeks,None,Brown,Brown,No,Y
Cory Booker,600,0.839,NJ,SEN,D,M,0,MNoneBaldNormalSerious SmileNormalNoneNormalNonehazelbrownno,None,Bald,Normal,Serious Smile,Normal,None,Normal,None,hazel,brown,no,Y
Bob Menendez,502,0.739,NJ,SEN,D,M,0,MGrayGeneric ShortNormalSerious SmileNormalNoneNormalGlassesBrownWhitemild,Gray,Generic Short,Normal,Serious Smile,Normal,None,Normal,Glasses,Brown,White,mild,Y
Melanie Stansbury,257,0.4,NM,1,D,F,0,FRedFemale LongNormalSerious SmileNormalNoneNormalNoneBrownWhiteNo,Red,Female Long,Normal,Serious Smile,Normal,None,Normal,None,Brown,White,No,Y
Yvette Herrell,258,0.697,NM,2,R,F,0,FDark BrownFemale ShortProminentBig SmileBigNoneChinNoneHazelWhiteYes,Dark Brown,Female Short,Prominent,Big Smile,Big,None,Chin,None,Hazel,White,Yes,Y
Teresa Leger Fernandez,259,0.609,NM,3,D,F,0,FBlackFemale LongNormalBig SmileNormalNoneNormalNoneBrownWhiteYes,Black,Female Long,Normal,Big Smile,Normal,None,Normal,None,Brown,White,Yes,Y
Ben Ray Lujan,503,0.573,NM,SEN,D,M,0,MDark GrayGeneric Male MediumProminentSmirkBigNoneChinNoneBrownTanMild,Dark Gray,Generic Male Medium,Prominent,Smirk,Big,None,Chin,None,Brown,Tan,Mild,Y
Martin Heinrich,504,0.55,NM,SEN,D,M,0,MDark GrayGeneric Male MediumNormalSmirkBigNoneChinNoneHazelOrangeNo,Dark Gray,Generic Male Medium,Normal,Smirk,Big,None,Chin,None,Hazel,Orange,No,Y
Dina Titus,239,0.667,NV,1,D,F,0,FLight GrayFemale BobProminentBig SmileBigNoneNormalNoneBrownWhiteNo,Light Gray,Female Bob,Prominent,Big Smile,Big,None,Normal,None,Brown,White,No,Y
Mark Amodei,240,0.616,NV,2,R,M,0,MDark BlondeGeneric Male MediumNormalThin LipsBigNoneCheeksGlassesBrownWhiteYes,Dark Blonde,Generic Male Medium,Normal,Thin Lips,Big,None,Cheeks,Glasses,Brown,White,Yes,Y
Susie Lee,241,0.84,NV,3,D,F,0,FBlondeFemale BobNormalNormalNormalNoneNormalNoneGreenWhiteNo,Blonde,Female Bob,Normal,Normal,Normal,None,Normal,None,Green,White,No,Y
Steven Horsford,242,0.66,NV,4,D,M,0,MBlackGeneric ShortNormalNormalNormalBeardNormalNoneBrownBlackNo,Black,Generic Short,Normal,Normal,Normal,Beard,Normal,None,Brown,Black,No,Y
Catherine Cortez Masto,505,0.642,NV,SEN,D,F,0,FLight BrownFemale BobNormalBig SmileNormalNoneNormalNoneBrownOrangeNo,Light Brown,Female Bob,Normal,Big Smile,Normal,None,Normal,None,Brown,Orange,No,Y
Jacky Rosen,506,0.619,NV,SEN,D,F,0,FDark BrownFemale ShortProminentBig SmileNormalNoneChinNoneGreenWhiteNo,Dark Brown,Female Short,Prominent,Big Smile,Normal,None,Chin,None,Green,White,No,Y
Lee Zeldin,260,0.81,NY,1,R,M,0,MBrownReceding HairlineNormalThin LipsNormalNoneNormalNoneBrownWhiteNo,Brown,Receding Hairline,Normal,Thin Lips,Normal,None,Normal,None,Brown,White,No,Y
Andrew Garbarino,261,0.588,NY,2,R,M,0,MBlackBaldNormalBig SmileNormalBeardNormalNoneBrownWhiteNo,Black,Bald,Normal,Big Smile,Normal,Beard,Normal,None,Brown,White,No,Y
Thomas Suozzi,262,0.667,NY,3,D,M,0,MBlackReceding HairlineNormalNo SmileBigNoneCheeksNoneBrownWhiteMild,Black,Receding Hairline,Normal,No Smile,Big,None,Cheeks,None,Brown,White,Mild,Y
Kathleen Rice,263,0.765,NY,4,D,F,0,FBrownFemale LongNormalBig SmileNormalNoneNormalNoneGreenWhiteMild,Brown,Female Long,Normal,Big Smile,Normal,None,Normal,None,Green,White,Mild,Y
Gregory Meeks,264,0.612,NY,5,D,M,0,MGrayGeneric ShortNormalNormalNormalNoneNormalGlassesBrownBlackNo,Gray,Generic Short,Normal,Normal,Normal,None,Normal,Glasses,Brown,Black,No,Y
Grace Meng,265,0.707,NY,6,D,F,0,FBlackFemale LongNormalSerious SmileNormalNoneChinNoneBrownWhiteNo,Black,Female Long,Normal,Serious Smile,Normal,None,Chin,None,Brown,White,No,Y
Nydia Velazquez,266,0.585,NY,7,D,F,0,FBrownFemale ShortNormalSerious SmileNormalNoneNormalNoneBrownBrownNo,Brown,Female Short,Normal,Serious Smile,Normal,None,Normal,None,Brown,Brown,No,Y
Hakeem Jeffries,267,0.718,NY,8,D,M,0,MBrownGeneric ShortProminentNormalNormalNoneNormalNoneHazelBrownNo,Brown,Generic Short,Prominent,Normal,Normal,None,Normal,None,Hazel,Brown,No,Y
Yvette Clarke,268,0.622,NY,9,D,F,0,FBlackGeneric ShortNormalBig SmileNormalNoneNormalNoneBrownBlackNo,Black,Generic Short,Normal,Big Smile,Normal,None,Normal,None,Brown,Black,No,Y
Jerry Nadler,269,0.755,NY,10,D,M,0,MLight BrownReceding HairlineNormalThin LipsNormalNoneCheeksGlassesBrownWhiteYes,Light Brown,Receding Hairline,Normal,Thin Lips,Normal,None,Cheeks,Glasses,Brown,White,Yes,Y
Nicole Malliotakis,270,0.741,NY,11,R,F,0,FBlackFemale BobProminentNormalNormalNoneNormalNoneBrownWhiteNo,Black,Female Bob,Prominent,Normal,Normal,None,Normal,None,Brown,White,No,Y
Carolyn Maloney,271,0.81,NY,12,D,F,0,FBlondeFemale LongNormalBig SmileNormalNoneCheeksNoneBrownWhiteYes,Blonde,Female Long,Normal,Big Smile,Normal,None,Cheeks,None,Brown,White,Yes,Y
Adriano Espaillat,272,0.582,NY,13,D,M,0,MGrayGeneric ShortNormalNormalNormalNoneChinNoneBrownBrownYes,Gray,Generic Short,Normal,Normal,Normal,None,Chin,None,Brown,Brown,Yes,Y
Alexandria Ocasio-Cortez,273,0.935,NY,14,D,F,0,FBlackFemale LongNormalSerious SmileNormalNoneCheeksNoneBrownOrangeNo,Black,Female Long,Normal,Serious Smile,Normal,None,Cheeks,None,Brown,Orange,No,Y
Ritchie Torres,274,0.745,NY,15,D,M,0,MBlackGeneric ShortProminentBig SmileNormalNoneNormalNoneBrownBlackNo,Black,Generic Short,Prominent,Big Smile,Normal,None,Normal,None,Brown,Black,No,Y
Jamaal Bowman,275,0.83,NY,16,D,M,0,MNoneBaldNormalNormalNormalNoneChinNoneBrownBlackNo,None,Bald,Normal,Normal,Normal,None,Chin,None,Brown,Black,No,Y
Mondaire Jones,276,0.772,NY,17,D,M,0,MBlackGeneric ShortNormalBig SmileBigNoneCheeksNoneBrownBlackNo,Black,Generic Short,Normal,Big Smile,Big,None,Cheeks,None,Brown,Black,No,Y
Sean Patrick Maloney,277,0.81,NY,18,D,M,0,MDark BlondeGeneric ShortNormalSerious SmileNormalNoneNormalNoneBlueWhiteYes,Dark Blonde,Generic Short,Normal,Serious Smile,Normal,None,Normal,None,Blue,White,Yes,Y
Antonio Delgado,278,0.68,NY,19,D,M,0,MBlackReceding HairlineNormalBig SmileNormalNoneNormalNoneBrownBlackNo,Black,Receding Hairline,Normal,Big Smile,Normal,None,Normal,None,Brown,Black,No,Y
Paul Tonko,279,0.582,NY,20,D,M,0,MWhiteBaldNormalNormalBigNoneNormalGlassesGreyWhiteYes,White,Bald,Normal,Normal,Big,None,Normal,Glasses,Grey,White,Yes,Y
Elise Stefanik,280,0.83,NY,21,R,F,0,FBrownFemale LongNormalNormalNormalNoneCheeksNoneBrownWhiteNo,Brown,Female Long,Normal,Normal,Normal,None,Cheeks,None,Brown,White,No,Y
Claudia Tenney,281,0.4,NY,22,R,F,0,FBlondeFemale BobNormalBig SmileNormalNoneNormalNoneGreenWhiteMild,Blonde,Female Bob,Normal,Big Smile,Normal,None,Normal,None,Green,White,Mild,Y
Tom Reed,282,0.616,NY,23,R,M,0,MLight BrownBaldNormalSerious SmileBigNoneNormalNoneBrownWhiteMild,Light Brown,Bald,Normal,Serious Smile,Big,None,Normal,None,Brown,White,Mild,Y
John Katko,283,0.731,NY,24,R,M,0,MLight GrayGeneric Male MediumNormalSerious SmileBigNoneNormalNoneBrownWhiteMild,Light Gray,Generic Male Medium,Normal,Serious Smile,Big,None,Normal,None,Brown,White,Mild,Y
